店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
焼肉 かっぱ梶岡,庄内駅 867m,焼肉,,3.73,261,24111,"￥8,000～￥9,999",-,大阪府豊中市豊南町東3-5-23
マリンフード株式会社,庄内駅 890m,その他,,3.03,6,103,-,-,大阪府豊中市豊南町東4-5-1
豊宝,庄内駅 853m,中華料理,,3.04,7,107,-,-,大阪府豊中市豊南町東1丁目1-3
スシロー 豊南店,庄内駅 770m,回転寿司,,3.05,33,138,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市豊南町東4-1-37
浪漫亭,庄内駅 951m,お好み焼き,,,3,,-,-,大阪府豊中市豊南町東3-13-54
ラーメン まこと屋 豊中豊南町店,庄内駅 780m,ラーメン,,3.05,57,220,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市豊南町東4-1-30
ガスト 豊中南店,庄内駅 761m,ファミレス,,3.05,30,98,～￥999,～￥999,大阪府豊中市豊南町東3-1-8
たこ昭,庄内駅 788m,たこ焼き,,3.02,1,14,-,-,大阪府豊中市豊南町南3-2-5
鳥周 庄内店,三国駅 833m,焼き鳥、鳥料理、手羽先,,3.03,31,1643,-,-,大阪府豊中市豊南町南3-8-9
きりん,三国駅 687m,喫茶店,,3.02,3,36,-,～￥999,大阪府豊中市豊南町南4-5-2
TENMEN,蛍池駅 348m,ラーメン、油そば・まぜそば、汁なし担々麺,,3.06,10,200,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池北町1-4-12
たかみ,蛍池駅 482m,焼肉、ホルモン,,3.38,74,2360,"￥5,000～￥5,999",-,大阪府豊中市蛍池北町3-2-8 美登ビル 2F
ビュー ドｳ パリ,蛍池駅 342m,ケーキ、カフェ,,3.1,15,227,～￥999,～￥999,大阪府豊中市蛍池北町1-2-4
あいうえお,蛍池駅 346m,喫茶店、ハンバーグ,,,14,,-,-,大阪府豊中市蛍池北町1-2-10
Mr.FREEDOMs,蛍池駅 390m,居酒屋、しゃぶしゃぶ,,,8,,-,-,大阪府豊中市蛍池北町2-1-5 アーバンライフ 1F
焼肉ホルモン ざくろ 豊中蛍池店,蛍池駅 456m,焼肉,,3.1,66,2966,"￥4,000～￥4,999",-,大阪府豊中市蛍池北町3-2-3
菴,蛍池駅 121m,イタリアン,,3.07,12,730,"￥10,000～￥14,999","￥10,000～￥14,999",大阪府豊中市蛍池中町2-4-2 KEY'S蛍池 101
餃子専門店 龍の餃子,蛍池駅 71m,餃子、居酒屋,【蛍池駅1分】ヘルシーな薄皮手作り餃子をランチ＆ちょい飲みで◆近くにお勤めの方もお気軽に！,3.06,5,51,"￥1,000～￥1,999",～￥999,大阪府豊中市蛍池中町2-3-1 ルシオーレ南館 1F
ナナカマドール,蛍池駅 158m,カフェ,,3.12,13,478,-,-,大阪府豊中市蛍池中町2-7-16
バー コイノボリ,蛍池駅 113m,バー,,3.01,1,104,-,-,大阪府豊中市蛍池中町2-3-1 ルシオーレ南館　１Ｆ
LAWSON 豊中蛍池町三丁目店,蛍池駅 83m,コンビニ・スーパー,,3,5,20,-,-,大阪府豊中市蛍池中町3-4-12
小麦の森 蛍池店,蛍池駅 39m,パン,,3.01,7,35,-,-,大阪府豊中市蛍池中町3-2-1 コープ蛍池
牛鍋と一品 京都 綿屋徳兵衛,蛍池駅 112m,鍋、居酒屋,,,26,,-,-,大阪府豊中市蛍池中町2-3-1 ルシオーレ 南館 1F
中華料理 みんみん,蛍池駅 312m,中華料理、餃子,,3.07,11,291,-,"￥1,000～￥1,999",大阪府豊中市蛍池中町4-3-14
喫茶ビーン,蛍池駅 40m,喫茶店,,3.09,11,118,-,～￥999,大阪府豊中市蛍池中町3-2-1 ルシオーレ南館 3F
つぐの庭,蛍池駅 323m,カフェ,,3,3,295,-,-,大阪府豊中市蛍池中町4-5-23
まんまる,蛍池駅 40m,たこ焼き,,3.07,12,94,～￥999,～￥999,大阪府豊中市蛍池中町3-2-1 ルシオーレ北 1F
カマカ,蛍池駅 101m,お好み焼き、焼きそば,,3.02,2,195,"￥2,000～￥2,999",-,大阪府豊中市蛍池中町3-9-22
酒とイタリアン SOJO,蛍池駅 124m,イタリアン,,3.12,19,737,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市蛍池中町2-3-1 ルシオーレ B棟 1F
ザ ローストラボ オオサカ,蛍池駅 76m,カフェ,,,25,,-,-,大阪府豊中市蛍池中町3-8-14
そこここ,蛍池駅 77m,立ち飲み、日本酒バー,,3.06,6,291,-,-,大阪府豊中市蛍池中町2-3-1 ルシオーレ 南館 1F
愛菜 蛍池店,蛍池駅 39m,弁当,,3,2,10,-,-,大阪府豊中市蛍池中町3-2-1 コープ蛍池店
BAR お酒の美術館 大阪モノレール蛍池駅店,蛍池駅 17m,バー,,3.01,2,10,-,-,大阪府豊中市蛍池中町3-1
王様印 蛍池店,蛍池駅 39m,スイーツ、たい焼き・大判焼き、和菓子,,3.02,3,112,～￥999,～￥999,大阪府豊中市蛍池中町3-1 大阪モノレール蛍池駅
NOIRE,蛍池駅 111m,カフェ,,3.09,19,262,-,"￥1,000～￥1,999",大阪府豊中市蛍池中町2-3-1 ルシオーレ 1F
美酒立呑処 かもしか,蛍池駅 75m,日本酒バー、立ち飲み、居酒屋,,3.01,3,269,"￥1,000～￥1,999",-,大阪府豊中市蛍池中町2-3-1 ルシオ-レ南館 1F
CICCIA,蛍池駅 112m,イタリアン,,3.07,7,243,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市蛍池中町2-4-18
鮮魚 魚浅,蛍池駅 39m,その他,,3.01,2,59,-,-,大阪府豊中市蛍池中町3-2-1 ルシオーレ 北館 1F
COOP 蛍池店,蛍池駅 24m,その他,,3.02,2,10,-,-,大阪府豊中市蛍池中町3-2-1
鳥芳,蛍池駅 103m,焼き鳥、からあげ、惣菜・デリ,,3.03,4,205,-,-,大阪府豊中市蛍池中町3-9-30 ハイツ蛍池第二前田ビル
鈴虫 蛍池店,蛍池駅 143m,カフェ,,,2,,-,-,大阪府豊中市蛍池中町2-3-1 ルシオーレ 南館1F
ムッシュプリン 豊中蛍池店,蛍池駅 94m,プリン,,3,3,17,-,-,大阪府豊中市蛍池中町2-4-16 佐藤ビル 1F
照月堂,蛍池駅 88m,和菓子,,,2,23,-,-,大阪府豊中市蛍池中町3-9-22
PANDESS,蛍池駅 78m,パン,,3.1,8,118,-,-,大阪府豊中市蛍池中町3-9-1
壱番館,蛍池駅 366m,居酒屋,,3.04,3,45,"￥3,000～￥3,999",-,大阪府豊中市蛍池中町4-4-9
スシマス 蛍池店,蛍池駅 39m,寿司,,3.01,9,39,-,～￥999,大阪府豊中市蛍池中町3-2-1 ルシオーレ 108
まぐろ屋ゑびす 伊丹空港店,大阪空港駅 139m,海鮮,【伊丹空港】 こだわりのマグロを是非ご賞味ください！,3.47,402,4288,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 3F
ル・パン神戸北野 伊丹空港店,大阪空港駅 128m,カフェ、パン、スイーツ,【伊丹空港内】ラ・スイート直営◆手作りスイーツや、ホテルレストラン自慢の料理をゆったり堪能,3.48,550,5641,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 中央ブロック 2F
大阪エアポートワイナリー,大阪空港駅 112m,バル、ワインバー、イタリアン,世界初！大阪国際(伊丹)空港内のワイン醸造所＆併設ワインバル!!,3.47,319,3314,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港(伊丹空港)中央ターミナル 3F
ラウンジ&バー グラン・ブルー 伊丹空港店,大阪空港駅 158m,バー、カフェ,伊丹空港内のオーセンティックバー◆気軽な朝食やランチ、ソムリエ厳選の一杯を優雅な空間で,3.4,82,703,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナルビル 2F
ノースショア 伊丹空港店,大阪空港駅 107m,カフェ、パンケーキ,野菜と果物をふんだんに使ったメニューが楽しめる、フォトジェニックなリラックスCafe♪,3.16,210,3551,-,"￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 伊丹空港 4F・5F
祇園辻利 大阪国際空港 旅・SORA店,大阪空港駅 200m,ティースタンド、ソフトクリーム,,3.08,29,145,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル2F 旅・SORA
JAL PLAZA 大阪空港,大阪空港駅 182m,その他,,3.05,16,75,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナルビル 2F 搭乗待合エリア
関西旅日記,大阪空港駅 119m,その他,,3.07,62,158,-,-,大阪府豊中市蛍池西町5-333 大阪国際空港ターミナルビル 2F
淡麺,大阪空港駅 202m,パスタ,,3.28,54,374,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナル 2F
ソラデリ,大阪空港駅 190m,その他,,3.05,26,63,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナルビル 2F 搭乗待合エリア
ANA スイートラウンジ 伊丹空港 国内線,大阪空港駅 184m,その他,,3.15,52,178,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港（伊丹空港） 南ターミナル 4F
空港専門大店 大阪国際空港 １号店,大阪空港駅 158m,その他、たこ焼き,,3,7,38,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 北ターミナル(JAL出発ロビー)2F
サクララウンジ 大阪国際（伊丹）空港 国内線,大阪空港駅 188m,その他,,3.19,126,394,～￥999,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 2F
いっぴんさん。,大阪空港駅 237m,その他,,3.01,10,41,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナル 2F 搭乗待合エリア
スターバックスコーヒー 大阪国際空港国内線南ゲートエリア店,大阪空港駅 234m,カフェ,,3.1,74,280,～￥999,～￥999,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 2F
京出汁おいなり 釣狐,大阪空港駅 224m,いなり寿司、日本料理,,3.48,237,2053,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555
伊丹空街,大阪空港駅 121m,その他,,3.04,9,52,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 南 3F
よしもとエンタメショップ 大阪空港店,大阪空港駅 140m,その他,,3.01,4,19,-,-,大阪府豊中市蛍池西町3-555 北ターミナル 4F
喜八洲総本舗 伊丹空港店,大阪空港駅 149m,和菓子,,3.23,163,2237,～￥999,-,大阪府豊中市蛍池西町3-555 大阪国際空港ターミナルビル 北ターミナル 2F
カルビープラス 伊丹空港店,大阪空港駅 107m,その他,,3.04,8,77,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナル 2F 搭乗待合エリア
& コーヒー メゾンカイザー,大阪空港駅 107m,カフェ、パン,,3.19,136,749,～￥999,"￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港北ターミナル 2F
黒船 伊丹空港店,大阪空港駅 140m,和菓子、スイーツ,,3.03,19,96,-,-,大阪府豊中市蛍池西町3-555
鶏日和,蛍池駅 408m,焼き鳥、居酒屋,,3.06,9,526,"￥3,000～￥3,999",-,大阪府豊中市蛍池西町1-26-2
立喰寿司 魚がし日本一 伊丹空港店,大阪空港駅 184m,立ち食い寿司、寿司、おにぎり,,3.21,208,985,"￥1,000～￥1,999",～￥999,大阪府豊中市蛍池西町3-555 大阪国際空港 2F セキュリティチェック後
大分からあげ わん 蛍池店,蛍池駅 422m,からあげ,,3.01,6,32,-,-,大阪府豊中市蛍池西町1-25-12
アンリ・シャルパンティエ 大阪国際空港店,大阪空港駅 107m,洋菓子,,3,13,64,-,-,大阪府豊中市蛍池西町3-555 大阪空港 南ターミナル 2F 搭乗待合エリア
りくろーおじさんの店 大阪伊丹空港店,大阪空港駅 158m,カフェ、ケーキ,,3.36,281,1769,～￥999,～￥999,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル 2F 保安検査場内
トリーゴ,蛍池駅 397m,パン、サンドイッチ,,3.22,32,556,-,-,大阪府豊中市蛍池西町1-26-5
インド料理 MAITA,大阪空港駅 219m,カレー、インドカレー、アジア・エスニック,,3.01,1,80,"￥1,000～￥1,999",～￥999,大阪府豊中市蛍池西町2-7-26
LAWSON 大阪国際空港店,大阪空港駅 85m,コンビニ・スーパー,,3.03,17,47,-,-,大阪府豊中市蛍池西町3-555 中央ターミナル 1階
京都ヴェネト,大阪空港駅 140m,洋菓子、和菓子,,3.15,25,279,-,-,大阪府豊中市蛍池西町3-555 大阪空港 北ターミナルビル 2F 空港専門大店2号店
おたべ 大阪国際空港店,大阪空港駅 107m,和菓子,,3.03,12,41,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 2F
諸國屋 伊丹空港店,大阪空港駅 137m,その他,,3.04,15,65,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル 2F
ダイヤモンド・プレミアラウンジ 大阪国際(伊丹)空港,大阪空港駅 171m,その他,,3.17,97,284,～￥999,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 3F
浪芳庵 大阪国際空港(伊丹空港)店,大阪空港駅 171m,和菓子、どら焼き,,3.2,73,2297,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナルビル 2F
道頓堀 今井 伊丹空港ゲート店,大阪空港駅 195m,うどん、親子丼,,3.36,350,1984,-,～￥999,大阪府豊中市蛍池西町3-555
ホテルＡ．Ｐ,大阪空港駅 167m,ホテル,,3,3,19,-,-,大阪府豊中市蛍池西町2-12-27
中川政七商店 分店 旅,大阪空港駅 184m,その他,,,4,27,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル 2F
旅・SORA,大阪空港駅 200m,その他,,3.05,15,40,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル 2F 搭乗待合エリア
LAWSON S大阪空港北ターミナルビル店,大阪空港駅 188m,コンビニ・スーパー,,3.02,2,15,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル
いっぴんさん。マルシェ,大阪空港駅 247m,その他,,3.02,11,33,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 2F
ANAラウンジ 伊丹空港 国内線,大阪空港駅 177m,その他,,3.19,116,414,～￥999,-,大阪府豊中市蛍池西町3-555 伊丹空港 南ターミナル 4F
堺 銀シャリ げこ亭 大阪国際空港店,大阪空港駅 186m,食堂,,3.44,205,3286,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 2F 南ターミナル
薬膳麻辣湯STAND yuge,大阪空港駅 104m,薬膳,,,4,,-,-,大阪府豊中市蛍池西町3-555 伊丹空港展望デッキ 4F
ポンポン×クリスピー 大阪国際空港店,大阪空港駅 107m,和菓子、スイーツ,,3.05,11,62,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 中央ブロック 2F
たこぼん,大阪空港駅 107m,たこ焼き,,3.48,293,1600,"￥1,000～￥1,999",-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル 2F
鶴橋 白雲台 伊丹空港店,大阪空港駅 107m,韓国料理,,3.4,187,1230,"￥1,000～￥1,999",-,大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナル 2F 搭乗待合エリア
なか卯 大阪空港前店,大阪空港駅 262m,牛丼、親子丼、うどん,,3.05,40,163,～￥999,～￥999,大阪府豊中市蛍池西町2丁目11-35
美々卯 空味,大阪空港駅 189m,うどん、カレーうどん、天丼,,3.19,107,538,～￥999,～￥999,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル 2F
肉が旨いカフェ NICK STOCK 伊丹空港店,大阪空港駅 102m,カフェ、ステーキ、パンケーキ,,3.23,235,1516,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 中央ブロック 2F
スカイコンビニ,大阪空港駅 140m,その他,,3.03,6,28,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港ターミナルビル 北ターミナル 2F
吉野家 大阪空港前店,大阪空港駅 292m,牛丼,,3.04,30,156,～￥999,～￥999,大阪府豊中市蛍池西町2-141-6
ラウンジオーサカ,大阪空港駅 116m,その他,,3.18,150,603,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 中央ブロック 3F
大阪空港ホテル,大阪空港駅 83m,ホテル,,3,4,38,-,-,大阪府豊中市蛍池西町3-555 大阪空港ターミナルビル
タリーズコーヒー 伊丹空港店,大阪空港駅 158m,カフェ,,3.04,22,98,-,-,大阪府豊中市蛍池西町3-555 伊丹空港 北ターミナル4F
ディーン アンド デルーカ 伊丹空港,大阪空港駅 113m,カフェ,,3.44,122,931,～￥999,～￥999,大阪府豊中市蛍池西町3-555 大阪国際空港 中央ブロック 3F
551蓬莱 大阪空港南ターミナル店（伊丹）,大阪空港駅 132m,中華料理、飲茶・点心、肉まん,,3.4,648,2741,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 2F 南ターミナル
ダイヤモンドカリー 大阪国際空港,大阪空港駅 102m,カレー、パスタ,,3.49,644,3872,～￥999,～￥999,大阪府豊中市蛍池西町3-555 中央ブロック 2F
鶏処 暖,蛍池駅 423m,鳥料理、焼き鳥、串焼き,,3.19,29,1408,"￥3,000～￥3,999",-,大阪府豊中市蛍池西町1-25-12 アライビル 1F
ペッパーミル,大阪空港駅 291m,フレンチ、イタリアン、創作料理,,3.38,105,2072,"￥5,000～￥5,999","￥2,000～￥2,999",大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 北ターミナル4F JAL側
大阪お好み焼き 清十郎 大阪国際空港店,大阪空港駅 102m,お好み焼き、焼きそば,,3.49,439,3744,"￥1,000～￥1,999","￥3,000～￥3,999",大阪府豊中市蛍池西町3-555 大阪国際空港 中央ブロック 3F
どうとんぼり 神座 大阪国際空港店,大阪空港駅 158m,ラーメン,,3.31,385,1395,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル 2F
蓮天,蛍池駅 135m,居酒屋、バー、立ち飲み,,3.02,1,17,"￥1,000～￥1,999",-,大阪府豊中市蛍池東町2-6-27
海鮮網焼き 海ほたる 蛍池店,蛍池駅 309m,海鮮、居酒屋,北海道〜沖縄まで日本中の選りすぐりの海鮮を海ほたるで！1月は空くじなしの抽選会実施中！,3.18,15,370,"￥4,000～￥4,999",-,大阪府豊中市蛍池東町2-4-5 ワイエムビル 1F
Oyster house Kai 阪急蛍池店,蛍池駅 122m,オイスターバー、イタリアン、海鮮,蛍池駅1分◆新鮮な生牡蠣を一年中ご提供！新年会のご予約承っております,3.36,95,2936,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市蛍池東町1-6-8 リバーサイドビルⅡ
あみや 蛍池店,蛍池駅 145m,焼き鳥、鳥料理、居酒屋,,3.09,54,1526,"￥3,000～￥3,999",-,大阪府豊中市蛍池東町2-1-13
ほたる翔,蛍池駅 203m,焼肉、ホルモン、韓国料理,自家製タレでいただくこだわりの黒毛和牛◎上質な空間で贅沢なひとときを…,3.14,22,364,"￥6,000～￥7,999",-,大阪府豊中市蛍池東町2-5-1 MASUMIビル 1F
心芽,蛍池駅 109m,居酒屋、海鮮、天ぷら,,3.2,24,674,"￥3,000～￥3,999",-,大阪府豊中市蛍池東町1-3-1 101
なかの食鶏 蛍池店,蛍池駅 220m,焼き鳥、居酒屋、鍋,,3.05,24,751,"￥3,000～￥3,999",-,大阪府豊中市蛍池東町2-5-3
Bar PROHIBITION,蛍池駅 134m,バー,,3.02,1,1,-,-,大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 2F
じゃっかす,蛍池駅 178m,クレープ・ガレット、バー、鉄板焼き,,,29,,-,-,大阪府豊中市蛍池東町2-6-6 蛍池サンビル 1Ｆ
地鶏専門おちば屋 HANARE 蛍池店,蛍池駅 132m,焼き鳥、鳥料理,,3.05,4,294,-,-,大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 1F
麺や ぼんち,蛍池駅 91m,ラーメン,,3.03,3,66,-,-,大阪府豊中市蛍池東町1-6-5 空港センタービル 2F
阪急OASIS 蛍ヶ池店,蛍池駅 183m,コンビニ・スーパー,,3.01,3,10,-,-,大阪府豊中市蛍池東町2-6-10
Ore beate,蛍池駅 90m,イタリアン,《 イタリア料理と自然派イタリアワインのお店 》,3.23,32,1959,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府豊中市蛍池東町1-6-21 メゾンドグリ 1F
コンテンタ,蛍池駅 167m,スペイン料理、バル、ワインバー,,3.03,2,224,"￥3,000～￥3,999",-,大阪府豊中市蛍池東町2-7-2 101
バー スマイル,蛍池駅 129m,バー,,,1,,-,-,大阪府豊中市蛍池東町1-2-9
かんらん,蛍池駅 205m,お好み焼き、おでん,,3.02,1,18,"￥1,000～￥1,999",-,大阪府豊中市蛍池東町2-2-14 1F
クエルポ,蛍池駅 210m,ワインバー、バル,,3,1,167,"￥1,000～￥1,999",-,大阪府豊中市蛍池東町2-2-14 1F
鮮魚鮨処 かまや,蛍池駅 131m,寿司,,3.03,9,252,-,～￥999,大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 1F
肉うどんの丸十,蛍池駅 109m,うどん、おでん、カレーうどん,,3.44,130,2453,"￥1,000～￥1,999",～￥999,大阪府豊中市蛍池東町1-6-6
焼とり 吉鳥 蛍池駅前店,蛍池駅 53m,焼き鳥,,3.07,9,92,-,-,大阪府豊中市蛍池東町1-4-6 1F
和風スナック やさ,蛍池駅 134m,喫茶店、日本料理、バー,,3.06,5,63,-,"￥1,000～￥1,999",大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 1F
みつか坊主,蛍池駅 96m,ラーメン、つけ麺,,3.46,144,4661,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池東町1-6-5 空港センタービル 2F
あほや 蛍池,蛍池駅 261m,たこ焼き,,3.03,20,235,～￥999,～￥999,大阪府豊中市蛍池東町2-5-15
呑み処ねこまる,蛍池駅 131m,居酒屋,,3.02,4,144,"￥2,000～￥2,999",-,大阪府豊中市蛍池東町2-1-3
バー ファンファン,蛍池駅 123m,バー,,3.01,1,93,"￥1,000～￥1,999",-,大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 1F
ふう,蛍池駅 287m,居酒屋、食堂,,3.02,3,62,-,-,大阪府豊中市蛍池東町2-4-18
ホルモン天国,蛍池駅 100m,ホルモン、居酒屋、韓国料理,,3.19,43,1427,"￥4,000～￥4,999",-,大阪府豊中市蛍池東町1丁目3-2
パティスリー コエリ,蛍池駅 295m,ケーキ,,3.07,8,402,-,-,大阪府豊中市蛍池東町2-5-25
和ZEN 蛍池,蛍池駅 134m,日本料理、中華料理,,3.05,5,112,"￥4,000～￥4,999",-,大阪府豊中市蛍池東町1-2-9
麺屋 ほぃ,蛍池駅 341m,ラーメン,,3.59,630,12751,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池東町3-1-3
マルヨシ製麺所,蛍池駅 107m,うどん、天ぷら、日本酒バー,,3.57,513,18503,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池東町1-5-12
ジョイズ カフェ,蛍池駅 131m,カフェ,,3.12,19,568,-,"￥1,000～￥1,999",大阪府豊中市蛍池東町2-1-3 武岡ビル１F
ハワイキ,蛍池駅 248m,ハワイ料理、居酒屋,,3.06,5,272,-,-,大阪府豊中市蛍池東町2-3-9
ほっかほっか亭 蛍池駅前店,蛍池駅 140m,弁当,,3.01,2,5,-,-,大阪府豊中市蛍池東町2-6-2
WAN CAFE,蛍池駅 431m,カフェ、かき氷、スイーツ,,3.1,13,428,-,"￥1,000～￥1,999",大阪府豊中市蛍池東町3-2-13 メゾンタカノ 1F
バーガーキング 蛍池駅前店,蛍池駅 94m,ハンバーガー,,3.03,10,61,-,～￥999,大阪府豊中市蛍池東町1-6-5 空港センタービル2F
ネパールキッチン Kathmandu 蛍池店,蛍池駅 318m,ネパール料理、インド料理、インドカレー,,3.37,92,2140,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市蛍池東町2-4-8 ハイライフ蛍池　１０３
秀泉,蛍池駅 409m,バー,,,55,,-,-,大阪府豊中市蛍池東町3-3-43
吉岡マグロ節センター,蛍池駅 241m,ラーメン、からあげ、つけ麺,,3.53,475,9021,～￥999,～￥999,大阪府豊中市蛍池東町2-3-24
千鳥屋宗家 蛍池駅店,蛍池駅 57m,和菓子,,3.05,3,20,-,-,大阪府豊中市蛍池東町1-5
しんみね屋,蛍池駅 181m,居酒屋、食堂,,3.08,10,102,"￥3,000～￥3,999",～￥999,大阪府豊中市蛍池東町2-6-6 蛍池サンビル 1F
さくらんぼ,蛍池駅 553m,喫茶店,,3.02,1,12,-,-,大阪府豊中市蛍池南町3-8-16
とんとん,蛍池駅 591m,とんかつ、丼、カレー,,3.35,55,2831,"￥8,000～￥9,999","￥2,000～￥2,999",大阪府豊中市蛍池南町3-9-13 第八ヤマビル 1F
リボン,服部天神駅 798m,喫茶店,,,13,,-,-,大阪府豊中市穂積1-7-1
やぐら,服部天神駅 795m,食堂,,3.01,1,35,-,～￥999,大阪府豊中市穂積1-7-1
モルト・ボーノ 豊中稲荷神社前店,豊中駅 451m,パスタ、ピザ、イタリアン,【豊中駅約6分】もちもちの生パスタや丁寧に焼き上げるピザを堪能！お酒に合う一品も充実◎,3.21,65,1442,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市本町5-2-3 ハイムラポールPartX 1F
焼肉 とよなか流,豊中駅 434m,焼肉、ホルモン,あの完全予約制で住所非公開の豊中の有名焼肉店がついにオープンスタイルに！！,3.59,171,10223,"￥6,000～￥7,999",-,大阪府豊中市本町3-7-75
裕,豊中駅 554m,焼き鳥、居酒屋、日本酒バー,アットホームな隠れ家◎備長炭で焼いた焼鳥や旬のおばんざいを、豊富な日本酒やウイスキーと嗜む,3.07,9,607,"￥5,000～￥5,999",-,大阪府豊中市本町6-1-3 195STREETビル B1F
餃子の勝 豊中本店,豊中駅 234m,餃子、居酒屋、中華料理,メディア出演多数の絶品餃子を是非食べてみてください❗️一品メニューも豊富な町中華酒場✨,3.41,162,7357,"￥2,000～￥2,999",～￥999,大阪府豊中市本町1-4-3
ビストロ×バル Marcy,豊中駅 285m,ビストロ、フレンチ、イタリアン,,3.23,27,1341,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市本町3-15-27 宮本マンション 1F
郷土料理　ちかっぱ,豊中駅 141m,居酒屋、海鮮、とんかつ,食べログ3.5以上を何軒も輩出してきた凄腕料理人。九州の旨いもんが堪能できる創作和食居酒屋,3.21,18,731,"￥5,000～￥5,999","￥2,000～￥2,999",大阪府豊中市本町1-12-3
鼓道,豊中駅 437m,そば、鳥料理、親子丼,昼は蕎麦と発酵料理、夜は合鴨と発酵料理のお店です。,3.61,752,36895,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市本町5-2-2 フォレストパーク 1F
Wine Shop & Bar Le Repos,豊中駅 286m,ワインバー、ビストロ,,3.09,6,329,"￥3,000～￥3,999",-,大阪府豊中市本町3-15-27 宮本マンション 1E
CALMEX 豊中店,豊中駅 57m,メキシコ料理,【豊中駅1分】本場のスパイスで作る本格メキシコ料理◎女子会から貸切イベントまで大歓迎♪,3.04,4,145,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市本町1-10-5 B1F
